Holy See,27,0,27,0,Holy See,3337.453646,0
Honduras,232672,6146,83625,142901,Honduras,2349.12881,2.641486728
Hungary,802088,29519,668820,103749,Hungary,8302.887577,3.680269497
Iceland,6555,29,6476,50,Iceland,1920.879121,0.442410374
India,6844,103,6473,268,"Andaman and Nicobar Islands, India",1641.105324,1.504967855
India,1580827,10126,1361464,209237,"Andhra Pradesh, India",2932.704069,0.6405508
India,24093,98,21096,2899,"Arunachal Pradesh, India",1534.138449,0.406757149
India,369183,2739,313333,53111,"Assam, India",1036.825893,0.741908484
India,689576,4549,644335,40692,"Bihar, India",552.5451994,0.659680731
India,58489,702,52913,4874,"Chandigarh, India",5048.80131,1.200225683
India,949000,12586,870640,65774,"Chhattisgarh, India",3223.918171,1.326238145
India,9987,4,9462,521,"Dadra and Nagar Haveli and Daman and Diu, India",1621.992971,0.040052068
India,1416868,23202,1366056,27610,"Delhi, India",7572.41145,1.63755551
India,146460,2383,126800,17277,"Goa, India",9233.096927,1.62706541
India,788470,9576,703760,75134,"Gujarat, India",1234.44557,1.214504039
India,738028,7512,687700,42816,"Haryana, India",2616.685195,1.017847561
India,179034,2766,150289,25979,"Himachal Pradesh, India",2402.510482,1.544957941
India,270621,3564,219620,47437,"Jammu and Kashmir, India",1988.936024,1.316970967
India,330417,4838,306080,19499,"Jharkhand, India",856.1368223,1.464210377
India,2424904,25282,1926615,473007,"Karnataka, India",3589.117224,1.042597975
India,2347966,7358,2062635,277973,"Kerala, India",6577.038191,0.313377621
India,17407,178,15707,1522,"Ladakh, India",6346.226061,1.022577124
India,6611,24,4537,2050,"Lakshadweep, India",10260.90736,0.363031311
India,764338,7558,699014,57766,"Madhya Pradesh, India",895.4396296,0.988829549
India,5579897,88620,5140272,351005,"Maharashtra, India",4531.188605,1.588201359
India,44089,688,36867,6534,"Manipur, India",1426.115421,1.560479938
India,29681,459,21542,7680,"Meghalaya, India",881.602514,1.546443853
India,10333,33,7839,2461,"Mizoram, India",833.8148097,0.319365141
India,20068,285,15105,4678,"Nagaland, India",892.032031,1.420171417
India,692382,2484,589610,100288,"Odisha, India",1493.608187,0.358761493
India,96060,1359,77850,16851,"Puducherry, India",6795.694787,1.414740787
India,538994,13281,468208,57505,"Punjab, India",1788.2198,2.46403485
India,916042,7703,796121,112218,"Rajasthan, India",1130.459832,0.840900308
India,13132,224,9591,3317,"Sikkim, India",1902.496338,1.70575693
India,1842344,20468,1527733,294143,"Tamil Nadu, India",2366.796008,1.110976018
India,553277,3125,509663,40489,"Telangana, India",1405.585872,0.564816539
India,46525,465,38099,7961,"Tripura, India",1115.762553,0.999462654
India,0,0,0,0,"Unknown, India",0,0
India,1669891,19209,1565802,84880,"Uttar Pradesh, India",701.9807765,1.150314601
India,313519,5805,252979,54735,"Uttarakhand, India",2786.623029,1.851562425
India,1267090,14364,1122201,130525,"West Bengal, India",1272.0599,1.133621132
Indonesia,1775220,49328,1633045,92847,Indonesia,649.0189014,2.778697852
Iran,2832518,78597,2333789,420132,Iran,3372.328152,2.774810257
Iraq,1167940,16190,1081843,69907,Iraq,2903.697962,1.386201346
Ireland,254870,4941,23364,226565,Ireland,5161.614615,1.938635383
Israel,839319,6404,832364,551,Israel,9696.898207,0.762999527
Italy,73689,2468,65254,5967,"Abruzzo, Italy",5618.338188,3.349210873
Italy,26015,570,20934,4511,"Basilicata, Italy",4621.856951,2.191043629
Italy,65881,1138,53536,11207,"Calabria, Italy",3383.49089,1.727356901
Italy,415965,7074,336853,72038,"Campania, Italy",7169.718765,1.700623851
Italy,382073,13146,349845,19082,"Emilia-Romagna, Italy",8567.663876,3.44070374
Italy,106768,3778,97748,5242,"Friuli Venezia Giulia, Italy",8785.89885,3.538513412
Italy,339612,8090,303893,27629,"Lazio, Italy",5776.616145,2.382130196
Italy,102297,4305,96065,1927,"Liguria, Italy",6597.082495,4.208334555
Italy,831087,33471,761995,35621,"Lombardia, Italy",8260.830843,4.027376195
Italy,101944,3004,94432,4508,"Marche, Italy",6683.664739,2.946715844
Italy,13550,488,12860,202,"Molise, Italy",4433.653887,3.601476015
Italy,72588,1173,70577,838,"P.A. Bolzano, Italy",13636.20993,1.615969582
Italy,45178,1354,43224,600,"P.A. Trento, Italy",8344.384561,2.997033955
Italy,358459,11579,338952,7928,"Piemonte, Italy",8228.319399,3.230216008
Italy,248758,6389,209640,32729,"Puglia, Italy",6174.105925,2.568359611
Italy,56429,1446,41559,13424,"Sardegna, Italy",3441.650997,2.562512183
Italy,222892,5739,204225,12928,"Sicilia, Italy",4457.937183,2.574789584
Italy,239474,6625,221550,11299,"Toscana, Italy",6420.832461,2.766479868
Italy,56101,1389,52745,1967,"Umbria, Italy",6360.549424,2.475891695
Italy,11499,471,10733,295,"Valle d'Aosta, Italy",9150.446421,4.096008349
Italy,421924,11528,399246,11150,"Veneto, Italy",8600.41901,2.732245618
Jamaica,47959,917,23986,23056,Jamaica,1619.601231,1.912049876
Japan,44624,697,36490,7437,"Aichi, Japan",590.8711311,1.561939763
Japan,741,12,619,110,"Akita, Japan",76.66918437,1.619433198
Japan,2158,27,1804,327,"Aomori, Japan",173.1426678,1.25115848
Japan,36275,665,34321,1289,"Chiba, Japan",579.5300558,1.83321847
Japan,2669,70,2474,125,"Ehime, Japan",199.2958562,2.622705133
Japan,1021,34,930,57,"Fukui, Japan",132.9536147,3.33006856
Japan,32750,420,26389,5941,"Fukuoka, Japan",641.6939623,1.282442748
Japan,4446,130,3853,463,"Fukushima, Japan",240.9078422,2.923976608
Japan,8122,145,7016,961,"Gifu, Japan",408.8418982,1.785274563
Japan,7584,127,6809,648,"Gunma, Japan",390.4335542,1.674578059
Japan,9765,117,6954,2694,"Hiroshima, Japan",348.2305147,1.198156682
Japan,34575,1001,25765,7809,"Hokkaido, Japan",658.565282,2.895155459
Japan,38997,1092,34102,3803,"Hyogo, Japan",713.421963,2.800215401
Japan,9410,142,8664,604,"Ibaraki, Japan",328.9856648,1.509032944
Japan,3476,99,2821,556,"Ishikawa, Japan",305.5423949,2.848101266
Japan,1343,43,1094,206,"Iwate, Japan",109.4703688,3.201787044
Japan,1939,24,1627,288,"Kagawa, Japan",202.7506752,1.237751418
Japan,3131,30,2668,433,"Kagoshima, Japan",195.4098958,0.958160332
Japan,59818,866,56316,2636,"Kanagawa, Japan",650.3180816,1.447724765
Japan,1269,20,1113,136,"Kochi, Japan",181.7976044,1.576044129
Japan,5962,94,4837,1031,"Kumamoto, Japan",341.1600242,1.57665213
Japan,15418,199,13695,1524,"Kyoto, Japan",596.9127632,1.290699183
Japan,4706,101,4213,392,"Mie, Japan",264.2510846,2.146196345
Japan,8774,82,8301,391,"Miyagi, Japan",380.4254747,0.934579439
Japan,2964,24,2594,346,"Miyazaki, Japan",276.1573873,0.809716599
Japan,4620,75,4188,357,"Nagano, Japan",225.498953,1.623376623
Japan,2823,61,2467,295,"Nagasaki, Japan",212.81183,2.160821821
Japan,7624,105,6945,574,"Nara, Japan",573.1800743,1.377229801
Japan,3051,33,2589,429,"Niigata, Japan",137.2404195,1.081612586
Japan,3164,38,2489,637,"Oita, Japan",278.6599661,1.201011378
Japan,6930,90,5045,1795,"Okayama, Japan",366.7470017,1.298701299
Japan,15139,149,12884,2106,"Okinawa, Japan",1041.792828,0.98421296
Japan,97727,2124,81725,13878,"Osaka, Japan",1109.353764,2.173401414
Japan,2919,3,2815,101,"Port Quarantine, Japan",0,0.102774923
Japan,2424,19,2110,295,"Saga, Japan",297.528817,0.783828383
Japan,42873,777,39570,2526,"Saitama, Japan",583.3304874,1.812329438
Japan,4796,75,4191,530,"Shiga, Japan",339.1933055,1.563803169
Japan,516,0,397,119,"Shimane, Japan",76.51858245,0
Japan,7944,131,6878,935,"Shizuoka, Japan",218.0304364,1.649043303
Japan,6091,75,5628,388,"Tochigi, Japan",314.9447515,1.231324906
Japan,1618,60,1424,134,"Tokushima, Japan",222.2597692,3.708281829
Japan,156853,2001,148037,6815,"Tokyo, Japan",1126.763862,1.275716754
Japan,456,2,395,59,"Tottori, Japan",82.07963885,0.438596491
Japan,1745,34,1395,316,"Toyama, Japan",167.2253623,1.948424069
Japan,8,0,8,0,"Unknown, Japan",0,0
Japan,2563,37,2319,207,"Wakayama, Japan",277.1011522,1.443620757
Japan,1889,39,1581,269,"Yamagata, Japan",175.2862204,2.064584436
Japan,2737,57,2084,596,"Yamaguchi, Japan",201.4965369,2.082572159
Japan,1478,19,1314,145,"Yamanashi, Japan",182.254031,1.285520974
Jordan,726432,9295,710608,6529,Jordan,7119.690605,1.27954165
Kazakhstan,429720,3428,389569,36723,Kazakhstan,2288.580207,0.797728754
Kenya,168432,3059,114537,50836,Kenya,313.2377309,1.816163199
"Korea, South",136467,1934,126427,8106,"Korea, South",266.1774423,1.417192435
Kosovo,106770,2244,100883,3643,Kosovo,5897.702454,2.101713965
Kuwait,299215,1734,285118,12363,Kuwait,7006.453247,0.579516401
Kyrgyzstan,102511,1751,95811,4949,Kyrgyzstan,1571.244619,1.708109374
Laos,1801,2,1074,725,Laos,24.75412188,0.111049417
Latvia,130945,2326,121123,7496,Latvia,6942.25751,1.776318302
Lebanon,538518,7677,508930,21911,Lebanon,7889.862664,1.425579089
Lesotho,10822,326,6431,4065,Lesotho,505.1693265,3.012382184
Liberia,2142,85,2022,35,Liberia,42.35145898,3.968253968
Libya,183311,3111,169945,10255,Libya,2667.782615,1.69711583
Liechtenstein,3000,58,2910,32,Liechtenstein,7866.376485,1.933333333
Lithuania,270849,4185,247662,19002,Lithuania,9949.30373,1.545141389
Luxembourg,69545,810,67162,1573,Luxembourg,11109.85086,1.164713495
MS Zaandam,9,2,7,0,MS Zaandam,0,22.22222222
Madagascar,40876,800,39255,821,Madagascar,147.6146472,1.957138663
Malawi,34284,1153,32462,669,Malawi,179.2163128,3.363084821
Malaysia,512091,2248,452821,57022,Malaysia,1582.188196,0.438984477
Maldives,55924,129,32322,23473,Maldives,10345.91207,0.230670195
Mali,14241,514,9442,4285,Mali,70.32302966,3.6092971
Malta,30504,417,30006,81,Malta,6908.563003,1.367033832
